size,rep,seed,ob_duration_ns
16,1,2658607507,670
16,2,2664582496,1310
16,3,2669743329,1215
16,4,2674412749,639
16,5,2677907716,665
16,6,2681520624,623
16,7,2684852235,617
16,8,2687838054,1240
16,9,2692141882,1200
16,10,2696727051,1202
128,1,2701012370,43263
128,2,2731751776,76421
128,3,2755143418,89500
128,4,2784628276,40977
128,5,2807244800,45557
128,6,2826901845,8986422
128,7,2868930513,43455
128,8,2886470777,40962
128,9,2922157161,7122742
128,10,2970167241,44369
1024,1,2990938720,10971235
1024,2,3617733087,9632407
1024,3,4213798478,11742947
1024,4,521846764,8519958
1024,5,1121129054,11947859
1024,6,1738105896,12035504
1024,7,2346998550,8676204
1024,8,2971151409,8443457
1024,9,3566686488,8707642
1024,10,4180576963,10462500
8192,1,505261764,6214501252
8192,2,1634517865,7003482036
8192,3,2670449436,8341259344
8192,4,4058636531,6596903046
8192,5,2914002845,7810167002
8192,6,4005311972,6802319051
8192,7,243364543,7510209067
8192,8,1184178748,7034761070
8192,9,1582264003,6785082317
8192,10,1723567464,8128196814
